timestamp,batvolt,boardtemp,lat,long
2016-12-30T15:42:09.181841179Z,3.98,12,52.1671953,4.999471
2016-12-30T15:51:09.177823386Z,3.97,12,52.1671421,4.9993599
2016-12-30T16:00:33.407177252Z,3.98,12,52.1672306,4.9994696
2016-12-30T16:09:09.188044951Z,3.98,12,52.1677001,4.9994792
2016-12-30T16:18:10.193544247Z,3.98,11,52.1672254,4.9995045
2016-12-30T16:27:08.236512772Z,3.98,12,52.167066,4.9996442
2016-12-30T16:36:08.215606765Z,3.97,11,52.1671425,4.9995727
2016-12-30T16:55:08.223716056Z,3.98,11,52.1671231,4.9995651
2016-12-30T17:05:08.225209584Z,3.97,11,52.1671824,4.9994324
2016-12-30T17:14:07.728182696Z,3.97,11,52.1671976,4.9994907
2016-12-30T17:23:11.178335047Z,3.98,11,52.1669515,4.9997727
2016-12-30T17:32:08.219041275Z,3.97,11,52.1674312,4.9991251
2016-12-30T17:41:08.192350878Z,3.98,11,52.1671527,4.9994465
2016-12-30T17:50:08.208116714Z,3.97,11,52.1671383,4.9995061
2016-12-30T18:08:13.235298907Z,3.97,11,52.1675028,4.9988361
2016-12-30T18:18:11.228647931Z,3.97,11,52.1672156,4.9993393
2016-12-30T18:27:07.734181914Z,3.98,11,52.1672454,4.9995595
2016-12-30T18:32:15.221637888Z,3.98,11,52.167046,4.9993365
2016-12-30T18:36:10.21360593Z,3.98,11,52.1669023,4.9995674
2016-12-30T18:45:07.184076206Z,3.98,11,52.1672284,4.9992711
2016-12-30T18:54:08.250668862Z,3.97,11,52.1673672,4.9995788
2016-12-30T19:03:07.741811427Z,3.97,11,52.1670503,4.9995184
2016-12-30T19:12:07.738983564Z,3.98,11,52.1671167,4.9993887
2016-12-30T19:21:10.186706698Z,3.97,11,52.1665355,5.0002512
2016-12-30T19:30:08.191686483Z,3.98,11,52.1672871,4.9992038
2016-12-30T19:40:10.191637597Z,3.98,11,52.1675852,4.9982976
2016-12-30T19:51:08.736373258Z,3.97,11,52.1673097,4.9992248
2016-12-30T20:00:10.180866297Z,3.98,11,52.1671124,4.9992977
2016-12-30T20:09:09.180375092Z,3.97,11,52.1671046,4.9996567
2016-12-30T20:18:11.232879578Z,3.97,11,52.1672537,4.999797
2016-12-30T20:27:09.175830412Z,3.97,11,52.1670632,5.0000137
2016-12-30T20:36:12.243131029Z,3.98,11,52.1671524,4.9994235
2016-12-30T20:45:12.190799654Z,3.98,11,52.1667678,4.9996652
2016-12-30T20:54:34.2295687Z,3.97,12,52.1671841,4.9994511
2016-12-30T21:04:08.189423574Z,3.97,11,52.1670465,4.9994638
2016-12-30T21:08:08.254942877Z,3.97,11,52.1670471,4.9993967
2016-12-30T21:13:08.23278493Z,3.97,11,52.1670183,4.9995204
2016-12-30T21:40:08.259559952Z,3.98,11,52.1670349,4.9994569
2016-12-30T21:49:07.230885883Z,3.97,11,52.1670801,4.9994735
